-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1
5,73,73,76,73,73,41,73,73,73,73,48,73,80,73,56,57,73,73,73,73,34,73,24,73,34,48,48,73,73,73,5
5,72,72,75,72,72,38,72,72,72,77,49,72,72,72,58,59,26,27,28,72,33,72,25,72,33,49,49,72,67,74,5
7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,70,74,5
5,73,79,80,60,61,73,73,73,73,34,73,73,73,73,73,73,73,73,73,34,73,78,78,78,15,73,73,73,69,74,5
5,72,35,72,62,63,72,72,72,72,33,72,72,67,74,74,74,66,72,72,33,72,12,13,14,16,11,12,72,72,72,5
7,6,6,6,6,6,6,6,6,6,6,6,8,70,74,74,74,71,10,6,6,6,6,6,6,6,6,6,6,6,6,9
5,73,64,73,22,31,73,73,73,34,73,80,73,69,74,74,74,68,73,21,80,19,17,50,73,52,54,73,73,73,73,5
5,72,65,72,72,29,28,72,72,33,72,72,72,72,72,72,72,72,72,72,72,20,18,51,72,53,55,72,77,46,47,5
2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
