5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5
5,-1,-1,11,-1,10,-1,10,-1,10,-1,10,-1,2,5
5,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
5,-1,11,-1,-1,9,9,-1,-1,-1,-1,-1,-1,-1,5
5,-1,-1,-1,2,2,2,2,-1,-1,-1,-1,-1,-1,5
5,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,5
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,-1,-1,5
5,-1,-1,-1,9,9,-1,-1,-1,2,2,2,2,-1,5
5,-1,-1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,5
5,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
5,2,2,2,2,2,2,2,2,2,2,2,2,2,5
